Biologisch,PrivateLabelInd,Low_fat,Low_Salt,Low_Sugar,Plant_based,Vegan,Vegetarian,ndLekkerUitNederland,ndHighInFiber,ndWholeGrain,Glutenvrij,ndSustainableProduced,Halal,QuantityCE,SalesGoodsEUR,RetailItemPrice
1.0,-0.007,-0.031,0.048,0.002,0.092,0.004,0.173,0.009,0.325,0.417,-0.13,0.303,,-0.09,-0.059,0.104
-0.007,1.0,0.103,0.036,0.134,-0.007,0.078,-0.035,0.276,-0.072,-0.148,0.126,0.082,,0.119,0.111,0.256
-0.031,0.103,1.0,0.588,-0.034,0.606,0.564,0.412,0.118,-0.024,-0.11,0.611,-0.176,,0.216,0.218,-0.015
0.048,0.036,0.588,1.0,-0.189,0.484,0.438,0.515,0.146,0.035,-0.15,0.581,-0.103,,0.207,0.248,0.037
0.002,0.134,-0.034,-0.189,1.0,-0.191,-0.251,-0.232,0.158,0.021,0.067,-0.062,0.342,,-0.03,-0.013,0.401
0.092,-0.007,0.606,0.484,-0.191,1.0,0.895,0.624,-0.07,0.199,0.162,0.461,-0.174,,0.144,0.159,-0.163
0.004,0.078,0.564,0.438,-0.251,0.895,1.0,0.654,-0.039,-0.006,0.041,0.469,-0.219,,0.138,0.146,-0.141
0.173,-0.035,0.412,0.515,-0.232,0.624,0.654,1.0,-0.04,0.145,0.118,0.437,-0.012,,0.084,0.075,-0.268
0.009,0.276,0.118,0.146,0.158,-0.07,-0.039,-0.04,1.0,-0.05,-0.041,0.097,0.009,,0.222,0.175,0.068
0.325,-0.072,-0.024,0.035,0.021,0.199,-0.006,0.145,-0.05,1.0,0.396,-0.107,0.198,,-0.1,-0.097,-0.025
0.417,-0.148,-0.11,-0.15,0.067,0.162,0.041,0.118,-0.041,0.396,1.0,-0.18,0.105,,-0.078,-0.072,-0.034
-0.13,0.126,0.611,0.581,-0.062,0.461,0.469,0.437,0.097,-0.107,-0.18,1.0,-0.103,,0.155,0.151,-0.121
0.303,0.082,-0.176,-0.103,0.342,-0.174,-0.219,-0.012,0.009,0.198,0.105,-0.103,1.0,,-0.008,0.027,0.232
,,,,,,,,,,,,,,,,
-0.09,0.119,0.216,0.207,-0.03,0.144,0.138,0.084,0.222,-0.1,-0.078,0.155,-0.008,,1.0,0.941,0.094
-0.059,0.111,0.218,0.248,-0.013,0.159,0.146,0.075,0.175,-0.097,-0.072,0.151,0.027,,0.941,1.0,0.193
0.104,0.256,-0.015,0.037,0.401,-0.163,-0.141,-0.268,0.068,-0.025,-0.034,-0.121,0.232,,0.094,0.193,1.0
