,Brand,ItemDescr,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,QuantityCE,SalesGoodsEUR,PriceAdjusted
306,AH,AH Karnemelk 1 liter,Dairy,False,True,True,True,False,False,False,True,False,False,False,True,False,False,0.2066182940314023,0.16384344619624092,0.9641666666666667
2172,AH Biologisch,AH Biologisch Biologische halfvolle melk 1.5 liter,Dairy,True,True,True,True,False,False,False,True,True,False,False,True,True,False,0.10043134225931456,0.1282403302704762,1.0450000000000002
402,Danone,Danone Danio stracciatella romige kwark 450 gram,Dairy,False,False,False,True,False,False,False,False,False,False,False,False,False,False,0.08365462414263596,0.10294499781943432,4.0962962962962965
189,CoolBest,CoolBest CB  Mango Dream 1L PK DS12 v1 1 liter,Dairy,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.08150755617522105,0.1015122177583198,1.9562499999999998
69,AH,AH Slagroom 250 gram,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,0.07741997803729443,0.06198272753333383,3.8448
664,AH,AH Dubbelvla vanille chocolade 1 liter,Dairy,False,True,False,True,False,False,False,False,True,False,False,False,False,False,0.05349969725834666,0.05184776127638499,1.2449999999999999
594,Almhof,Almhof Milde roomyoghurt spaanse sinaasappel 500 gram,Dairy,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.045556798710759176,0.04720737807223599,2.8454545454545457
330,AH,AH Volle yoghurt 500 milliliter,Dairy,False,True,False,True,False,False,False,True,True,False,False,True,False,False,0.04274498763012155,0.025624922958132818,1.4666666666666668
1040,Dr. Oetker,Dr. Oetker Wolkent. Karamel 125 gram,Dairy,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0.04142152727811493,0.017299719671023624,4.52952380952381
2124,AH,AH Smoothie mango passion 250 milliliter,Dairy,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.0382794585087792,0.03092931077349372,4.121666666666667
1419,AH Biologisch,AH Biologisch Bio slagroom 250 milliliter,Dairy,True,True,False,True,False,False,False,True,False,False,False,True,True,False,0.03144671465813975,0.03179646549755217,4.915
1443,MelkUnie,Melkunie fruitvla rum/rozijnen 1Lpak 1 liter,Dairy,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.022545993493660214,0.03132837400148907,1.86625
1467,AH Excellent,AH Excellent Creme brulee 200 gram,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,0.020586318732951563,0.02513930634819922,7.677083333333333
1253,AH,AH Drinkontbijt mandar kiwi 500 milliliter,Dairy,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.020021285377351906,0.013076085514105926,1.5939130434782611
616,Campina,Campina Camp chocolade vla 1 liter,Dairy,False,False,False,True,False,False,False,False,False,False,False,True,True,False,0.01829214810965988,0.019956631661475224,1.5179166666666666
2196,De Zaanse Hoeve,De Zaanse Hoeve Yoghurt aardbei 1000 gram,Dairy,False,True,False,True,False,False,False,True,False,False,False,True,False,False,0.01604336146411076,0.019167457702693364,1.4383333333333332
1180,AH Excellent,AH Excellent Moelleux chocolate 200 gram,Dairy,False,True,False,True,False,False,False,True,False,False,False,False,True,False,0.014989132606021029,0.026674846306258396,11.183333333333332
1707,Almhof,Almhof Roomyoghurt walnoot-griekse honing 150 gram,Dairy,False,False,False,True,False,False,False,True,False,False,False,True,False,False,0.01247671655498065,0.006763455912074598,4.875
832,Zuivelhoeve,Zuivelhoeve Boer'n yoghurt naturel 800 gram,Dairy,False,False,False,True,True,False,False,True,False,False,False,True,False,False,0.012274070520432409,0.01875504995475971,2.4739583333333335
2148,AH,AH Kokoswater 1000 milliliter,Dairy,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.011618546004169157,0.017488814493509863,1.865
1866,Campina,Campina Biologische karnemelk 500ml 500 milliliter,Dairy,True,False,True,True,False,False,False,True,False,False,False,True,False,False,0.01057296099657222,0.007158057849157469,1.7291666666666667
