ItemDescr,Content,Weight,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice,PriceAdjusted
AH Abrikozen 500 gram,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201859.0,0.030810650808779257,0.02363998533787149,2.7061904761904763,5.4123809523809525
"AH Biologisch AH Bio appelsap 1,0L 1 liter",1.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.0205717308903655,0.022053561367212423,1.49875,1.49875
AH Biologisch Bio slagroom 250 milliliter,250.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.03144671465813975,0.03179646549755217,1.22875,4.915
AH Biologisch Bio verse zalm 175gr 1 kilogram,1.0,0.175,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201854.5652173913,0.026780112718735902,0.053335105480839536,36.85956521739131,36.85956521739131
AH Biologisch Biologische halfvolle melk 1.5 liter,1.5,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,201856.5,0.10043134225931456,0.1282403302704762,1.5675000000000001,1.0450000000000002
AH Biologisch Kiwi gold schaal 4 stuk,4.0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201860.0,0.006302682183911799,0.007745064724105216,3.49,3.49
AH Biologisch Vegan spinazie burger 160 gram,160.0,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.006264258555321236,0.004796029358394285,2.625,16.40625
AH Blauwe bessen 500 gram,500.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.09181575743786032,0.17950634394911455,8.4344,16.8688
AH Carambola 1 stuk,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201851.2,0.0005788089094426931,0.00038098359362811134,2.017,2.017
AH Cola light 6bl 6x0.33 liter,1.9799999999999998,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.004890726035877482,0.0063597648212431355,1.8125,0.9154040404040403
AH Craft soda elderflower fles 0.275 liter,0.28,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.0054901619488035396,0.0030466263556540407,0.7675000000000001,2.7410714285714284
AH Drinkontbijt mandar kiwi 500 milliliter,500.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201854.08695652173,0.020021285377351906,0.013076085514105926,0.7969565217391306,1.5939130434782611
AH Dubbelvla vanille chocolade 1 liter,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.05349969725834666,0.05184776127638499,1.2449999999999999,1.2449999999999999
AH Excellent Creme brulee 200 gram,200.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.020586318732951563,0.02513930634819922,1.5354166666666667,7.677083333333333
AH Excellent Moelleux chocolate 200 gram,200.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,201856.5,0.014989132606021029,0.026674846306258396,2.236666666666667,11.183333333333332
AH Gebraden kipfiletplakjes tandoori 1 kilogram,1.0,0.15,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,201856.5,0.019435267917553855,0.014223002259362183,16.954166666666666,16.954166666666666
AH Gedroogde pruimen 230 gram,230.0,,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,201856.5,0.0047359005254086215,0.005159503308084882,2.99,13.000000000000002
AH Gemengde noten 400 gram,400.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201856.5,0.0006225989352406435,0.0006681552871290348,3.1675,7.918749999999999
