,Brand,ItemDescr,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,QuantityCE,SalesGoodsEUR,PriceAdjusted
570,AH,AH Nederlandse aardbei 250 gram 250 gram,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,0.14889874101793013,0.13908463105303517,10.535
426,AH,AH Mandarijnen groot 1.5 kilogram,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.14415702681072973,0.18935490671378005,2.3930555555555557
1683,AH,AH Zelfgeperst sinaasappelsap 1000 milliliter,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,0.1387336519738217,0.1644246542833468,3.2391666666666663
165,AH,AH Verse sap sinaasappel 500 milliliter,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.11140895388670098,0.0728837062366362,4.046666666666666
1395,AH,AH Blauwe bessen 500 gram,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.09181575743786032,0.17950634394911455,16.8688
712,AH,AH Smoothie appel banaan aardbei 500 milliliter,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.05675156624885199,0.042445551285137766,4.844166666666667
1986,AH,AH Mandarijnen los 1 kilogram,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,0.05659005836212607,0.024802475739180502,2.3016666666666667
1156,AH,Ah smoot mango ban 500 milliliter,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.05445922717581505,0.040449148738378515,4.844166666666667
237,AH,AH Verse sap aardbei sinaasappel 500 milliliter,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.05287662909097073,0.03613566531562364,4.44
2087,AH,AH Pluot 500 gram,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.030948559645934903,0.023559710859100195,5.684615384615385
261,AH,AH Abrikozen 500 gram,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.030810650808779257,0.02363998533787149,5.4123809523809525
2044,AH,AH sap avocado komkommer 250 milliliter,Fruits,False,True,False,True,False,True,True,True,False,False,False,True,False,False,0.025296849993207113,0.015247375308024962,7.073333333333333
354,AH,AH Rode bessen 150 gram,Fruits,False,True,True,True,True,True,True,True,True,False,False,True,False,False,0.023225404012276,0.020834113095170876,18.833333333333332
2524,AH,AH Seizoenssap 500 milliliter,Fruits,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.019793848084717063,0.013115135297323834,4.44
45,AH,AH Lychees los 1 kilogram,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,0.012859804096478694,0.010011694835022712,7.33625
1938,AH,Ah ontbijt smoothie haver yoghurt aardbe 250 milliliter,Fruits,False,True,True,True,False,False,False,True,False,False,False,True,False,False,0.007623884609075031,0.004536662891657441,7.073333333333333
2068,AH Biologisch,AH Biologisch Kiwi gold schaal 4 stuk,Fruits,True,True,True,True,False,True,True,True,False,False,False,True,False,False,0.006302682183911799,0.007745064724105216,3.49
2711,AH,AH Gedroogde pruimen 230 gram,Fruits,False,True,True,True,False,True,True,True,False,True,False,True,False,False,0.0047359005254086215,0.005159503308084882,13.000000000000002
2735,AH,AH Ongebrande hazelnoten 190 gram,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0008207080405479179,0.0013097354097708297,23.105263157894736
213,AH,AH Gemengde noten 400 gram,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0006225989352406435,0.0006681552871290348,7.918749999999999
1755,AH,AH Carambola 1 stuk,Fruits,False,True,False,False,False,True,True,True,False,False,False,True,False,False,0.0005788089094426931,0.00038098359362811134,2.017
2364,AH,AH Mango Mania 250ml 250 milliliter,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,3.354346157671749e-05,2.871698941236894e-05,9.28
2340,AH,AH Wheat grass booster 250ml 250 milliliter,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.9224999310381355e-05,2.4928872488765337e-05,9.28
2436,AH,AH Very Berry 500ml 500 milliliter,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.6653214520973007e-05,2.9620363577678775e-05,6.056190476190476
2412,AH,AH Morning Sunrise 500ml 50 milliliter,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2.1188730767732118e-05,2.3625854029066896e-05,6.06
2388,AH,AH Multifruit 330ml 330 milliliter,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.3513644028587827e-05,1.2609563766173021e-05,7.651515151515152
1823,Zespri,Zespri kiwi gold vvp 1kg 1000 gram,Fruits,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.1308132376513335e-05,2.0416540296691453e-05,1.12
24,AH,AH Goudreinette zak 1.5 kilogram,Fruits,False,True,True,True,False,True,True,True,True,False,False,True,False,False,4.166936943988029e-06,3.2978027546679994e-06,1.6314285714285712
856,AH,AH Minneola los 1 stuk,Fruits,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.368308796142639e-06,3.0054502674424787e-07,1.89
