,Brand,ItemDescr,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,QuantityCE,SalesGoodsEUR,PriceAdjusted
1539,AH,AH Krokante kipfilet schnitzel 2st 250 gram,Meat,False,True,False,False,True,False,False,False,True,False,False,False,False,False,0.2581802563088821,0.19554963965914063,12.476666666666667
474,AH,AH Zalmfilet. 1 kilogram,Meat,False,True,False,True,True,False,False,False,False,False,False,False,True,False,0.18930359172339736,0.24489687937693352,27.780416666666667
944,AH,AH Scharrel gerookte kipfilet 1 kilogram,Meat,False,True,True,False,True,False,False,False,True,False,False,True,True,False,0.07287178302050198,0.053281221115010435,18.036666666666665
688,AH,AH Sandwich zalmplakken 100 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.06366480907356237,0.0829867716196997,45.612500000000004
1061,AH,AH Gerookte Forel 125 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,True,True,False,0.053029196394251424,0.035848898780128424,16.852173913043476
141,AH,AH Rivierkreeftjes 100 gram,Meat,False,True,True,False,True,False,False,False,False,False,False,True,False,False,0.03315703812860774,0.03484290475157557,33.266666666666666
1635,AH,AH Zalm staartstuk 1 kilogram,Meat,False,True,False,True,True,False,False,False,False,False,False,False,True,False,0.029462887376687123,0.04564515154945147,23.837500000000002
1396,AH Biologisch,AH Biologisch Bio verse zalm 175gr 1 kilogram,Meat,True,True,False,True,True,False,False,False,False,False,False,False,False,False,0.026780112718735902,0.053335105480839536,36.85956521739131
640,AH,AH kippenbout ca 1500gr 1 kilogram,Meat,False,True,False,True,True,False,False,False,True,False,False,True,False,False,0.026700796523246723,0.03708219211550291,3.1679166666666667
1587,AH,Ah toastzalm 130 gram,Meat,False,True,False,False,False,False,False,False,False,False,False,True,True,False,0.025782110799289253,0.03895587929130987,38.78846153846154
2687,Garden Gourmet,Garden Gourmet Vegetarische schnitzel 180 gram,Meat,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.022048520292514664,0.016605816833082102,13.680555555555557
1611,AH,Ah pangasiusreepje pep&zt 250 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.02203718392541298,0.019573474292705794,13.313333333333333
1084,AH,AH Kipdijfilet flakes kebab 225 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.02123248875463271,0.018908788585966268,13.28888888888889
760,Garden Gourmet,Garden Gourmet Oosterse wokblokjes 175 gram,Meat,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.020336063817331117,0.016931080921249977,15.647619047619047
2500,AH,AH Gebraden kipfiletplakjes tandoori 1 kilogram,Meat,False,True,True,False,True,False,False,False,False,False,False,True,False,False,0.019435267917553855,0.014223002259362183,16.954166666666666
2457,Vivera,Vivera Krokante schnitzel 200 gram,Meat,False,False,False,False,True,False,False,True,False,False,False,False,True,False,0.0159009106111383,0.011925344142808526,12.395833333333334
282,Quorn,Quorn Sate stukjes 300 gram,Meat,False,False,False,False,False,False,False,True,False,False,False,True,True,False,0.01521196213714506,0.013534561008770025,10.25
992,AH,AH Vers gekookt nl mosselvlees 0.15 kilogram,Meat,False,True,True,False,True,False,False,False,False,False,False,True,True,False,0.015044488202087892,0.007951333510271977,11.0
968,AH,AH Surimi flakes 200 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,False,True,False,0.014973229361523522,0.00949348459977412,9.95
1108,AH,AH Kipdijfilet flakes marokkaans 225 gram,Meat,False,True,False,False,True,False,False,False,False,False,False,True,False,False,0.011132487932279805,0.009692710850084862,13.28888888888889
1914,Garden Gourmet,Garden Gourmet Caprese carremet cherry tom en mozzarell 160 gram,Meat,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.01037906137544214,0.008308594757141767,18.000000000000004
1515,AH,Ah blini's 135 gram,Meat,False,True,False,False,False,False,False,True,False,False,False,False,False,False,0.008430565736248256,0.004064162417319034,11.734567901234568
2481,Valess,Valess Rookworst 160 gram,Meat,False,False,False,False,True,False,False,True,False,False,False,False,False,False,0.008360912327160118,0.007284206602331108,18.378289473684212
2244,AH,AH Kipfilethaasjes 1 kilogram,Meat,False,True,True,True,True,False,False,False,False,False,False,True,True,False,0.008149874793025758,0.011525205585538911,17.636666666666667
1731,AH Biologisch,AH Biologisch Vegan spinazie burger 160 gram,Meat,True,True,False,False,True,True,True,True,False,False,False,False,True,False,0.006264258555321236,0.004796029358394285,16.40625
378,AH,AH Kipfilet a la minute naturel 1 kilogram,Meat,False,True,True,True,True,False,False,False,True,False,False,True,False,False,0.006055433115244007,0.0069586223324490624,10.106666666666667
117,Baltussen,Baltussen Rolmops in saus 450 gram,Meat,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0007609207350132301,0.0007586202647038086,6.944444444444444
2596,BioToday,BioToday Flatbread sticks garlic - bio 130 gram,Meat,True,False,False,False,True,True,False,True,False,True,True,False,True,False,0.00020525849240432268,0.0001174148860627867,15.5
2572,Smaakt,Smaakt Granola granen-noten 350g - bio 350 gram,Meat,True,False,False,True,False,True,False,True,False,True,False,False,True,False,0.00014847530670409064,0.00013186613010872435,8.371428571428572
93,Baltussen,Baltussen Rolmops 450 gram,Meat,False,False,False,False,True,False,False,False,False,False,False,True,False,False,2.7299159185968017e-05,2.458014197334383e-05,6.381481481481482
