ItemDescr,Brand,Content,UOM,Weight,PackagingType,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,PeriodKey,QuantityCE,SalesGoodsEUR,RetailItemPrice
AH Abrikozen 500 gram,21,21,21,0,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
"AH Biologisch AH Bio appelsap 1,0L 1 liter",24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Biologisch Bio slagroom 250 milliliter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Biologisch Bio verse zalm 175gr 1 kilogram,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
AH Biologisch Biologische halfvolle melk 1.5 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Biologisch Kiwi gold schaal 4 stuk,19,19,19,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
AH Biologisch Vegan spinazie burger 160 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Blauwe bessen 500 gram,25,25,25,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,24,24,24,25
AH Carambola 1 stuk,20,20,20,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
AH Cola light 6bl 6x0.33 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Craft soda elderflower fles 0.275 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Drinkontbijt mandar kiwi 500 milliliter,23,23,23,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
AH Dubbelvla vanille chocolade 1 liter,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Excellent Creme brulee 200 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Excellent Moelleux chocolate 200 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Gebraden kipfiletplakjes tandoori 1 kilogram,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
AH Gedroogde pruimen 230 gram,24,24,24,0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
