,Brand,ItemDescr,Category,Biological,PrivateLabel,LowFat,LowSalt,LowSugar,PlantBased,Vegan,Vegetarian,LocalProduct,HighFiber,WholeGrain,Glutenfree,Sustainable,Halal,QuantityCE,SalesGoodsEUR,PriceAdjusted
736,Coca-Cola,Coca-Cola Original 1 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.22463727957917853,0.231537526046975,1.6925
522,Red Bull,Red Bull Energy 250 milliliter,Soda,False,False,True,True,False,True,False,False,False,False,False,True,False,False,0.2206600625025348,0.24686111825306825,6.239999999999999
808,Royal Club,Royal club tonic classic 1 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.09057189917798092,0.08987344184286851,1.53875
1299,Appelsientje,Appelsientje Sinaasappel 1 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.0889832847113798,0.0744046170234088,1.5925
1323,DubbelDrank,Dubbeldrank Sinaasapl Perzik 1 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.07812209463428386,0.06167334061953884,1.4008333333333332
0,Fanta,Fanta orange bl 0.33 liter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.05727217688066735,0.025749184630883885,1.9671717171717171
2010,Coca-Cola,Coca-Cola Original fles 0.375 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.05418735948722846,0.041137885262993515,2.7587719298245617
1659,Coca-Cola,Coca-cola vanilla bl 0.33 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.05110866993290606,0.02290521545317162,1.9595959595959596
546,AH Biologisch,"AH Biologisch AH Bio appelsap 1,0L 1 liter",Soda,True,True,True,True,False,True,True,True,False,False,False,True,True,False,0.0205717308903655,0.022053561367212423,1.49875
1491,Capri-Sun,Capri-Sun Orange drink pouch 10x0.2 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.01969156730753467,0.03978000630489007,1.6475
896,Coca-Cola,Coca cola zero 12bl 12x0.15 liter,Soda,False,False,True,True,True,True,True,True,False,False,False,True,False,False,0.017201085628113205,0.06583850297741826,3.1814814814814816
2620,Appelsientje,Appelsientje AS multivitamientje exotisch fruit 1 liter,Soda,False,False,True,True,False,True,False,True,False,False,False,True,False,False,0.00985714895556371,0.00785618769105585,1.4016666666666666
1962,Roosvicee,Roosvicee Multivit Bosvruchten 6pk 1.2 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.009423702912601497,0.01245736017609661,1.6534722222222225
1132,Spa,Spa Duo lime ginger 1 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.00931658271574676,0.008809836270198624,1.5883333333333332
2292,Icelandic,Icelandic Glacial 500 milliliter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.008170550137037458,0.006068020045998858,2.0100000000000002
2316,Spa,Spa Touch blackcurrant 0.5 liter,Soda,False,False,True,True,True,True,True,True,False,False,False,True,False,False,0.007037677387793521,0.0038113300559997256,1.4249999999999998
1775,Guarana,Guarana Guarana can 0.33 liter,Soda,False,False,True,True,False,True,True,True,False,False,False,True,False,False,0.0067490158513548405,0.004951558159593379,3.0454545454545454
1204,AH,AH Craft soda elderflower fles 0.275 liter,Soda,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.0054901619488035396,0.0030466263556540407,2.7410714285714284
2268,AH,AH Cola light 6bl 6x0.33 liter,Soda,False,True,True,True,True,True,True,True,False,False,False,True,False,False,0.004890726035877482,0.0063597648212431355,0.9154040404040403
1799,Karvan Cevitam,Karvan Cevitam 0% Citrus mix 750 milliliter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00456924468788024,0.008604024935744406,3.9911111111111115
1016,Sourcy,Sourcy Vitaminwater limoen 0.5 liter,Soda,False,False,True,True,True,True,False,False,False,False,False,True,False,False,0.0043518472635537325,0.0039761473117075835,2.769166666666667
1228,Red Bull,Redbull winter edit 250 milliliter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.003862870206295666,0.003489232494274764,5.706666666666667
784,AH,AH Sinas light 6pack 6x1.5 liter,Soda,False,True,True,True,True,True,False,False,False,False,False,True,False,False,0.0013996827298972687,0.003817283759552891,0.41662037037037036
2100,AH BASIC,Ah basic orange 4fl 4x2 liter,Soda,False,True,True,True,False,True,True,True,False,False,False,True,False,False,0.0009561650012579947,0.0025559535720141914,0.4605208333333333
2666,The Gutsy Captain,The Gutsy Captain California raspberry 400 milliliter,Soda,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0005563597937106842,0.0007752255526989948,5.021428571428571
2644,Qwensh,Qwensh Drinkfles 1 stuk,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.00034375483992497407,0.0017434465764542585,9.99
1371,O2,O2 Life lemon-grapefruit pet 0.75 liter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.715584423795311e-05,6.164656564283507e-05,1.72
1347,O2,O2 Life orange-citrus 0.75 liter,Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.782376406808704e-05,4.3547150971679373e-05,1.72
2034,Coca-Cola,"Coca-cola fl uit 4pk 1,25LT",Soda,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.2249674246121525e-06,1.4379155018455301e-06,1.3519999999999999
