;ItemDescr;Category;Biological;PrivateLabel;..;Sustainable;Halal;QuantityCE;SalesGoodsEUR;PriceAdjusted
261;AH Abrikozen 500 gram;Fruits;FALSE;TRUE;..;FALSE;FALSE;0,030810651;0,023639985;5,412
546;AH Biologisch AH Bio appelsap 1,0L 1 liter;Soda;TRUE;TRUE;..;TRUE;FALSE;0,020571731;0,022053561;1,499
1419;AH Biologisch Bio slagroom 250 milliliter;Dairy;TRUE;TRUE;..;TRUE;FALSE;0,031446715;0,031796465;4,915
1396;AH Biologisch Bio verse zalm 175gr 1 kilogram;Meat;TRUE;TRUE;..;FALSE;FALSE;0,026780113;0,053335105;3,686
2172;AH Biologisch Biologische halfvolle melk 1.5 liter;Dairy;TRUE;TRUE;..;TRUE;FALSE;0,100431342;0,12824033;1,045
2068;AH Biologisch Kiwi gold schaal 4 stuk;Fruits;TRUE;TRUE;..;FALSE;FALSE;0,006302682;0,007745065;3,49
;..;..;..;..;;..;..;..;..;..
1731;AH Biologisch Vegan spinazie burger 160 gram;Meat;TRUE;TRUE;;TRUE;FALSE;0.006264258555321236;0.004796029358394285;1.640.625
1395;AH Blauwe bessen 500 gram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.09181575743786032;0.17950634394911455;168.688
1755;AH Carambola 1 stuk;Fruits;FALSE;TRUE;;FALSE;FALSE;0.0005788089094426931;0.00038098359362811134;2.017
2268;AH Cola light 6bl 6x0.33 liter;Soda;FALSE;TRUE;;FALSE;FALSE;0.004890726035877482;0.0063597648212431355;0.9154040404040403
1204;AH Craft soda elderflower fles 0.275 liter;Soda;FALSE;TRUE;;FALSE;FALSE;0.0054901619488035396;0.0030466263556540407;27.410.714.285.714.200
1253;AH Drinkontbijt mandar kiwi 500 milliliter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.020021285377351906;0.013076085514105926;15.939.130.434.782.600
664;AH Dubbelvla vanille chocolade 1 liter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.05349969725834666;0.05184776127638499;12.449.999.999.999.900
1467;AH Excellent Creme brulee 200 gram;Dairy;FALSE;TRUE;;FALSE;FALSE;0.020586318732951563;0.02513930634819922;7.677.083.333.333.330
1180;AH Excellent Moelleux chocolate 200 gram;Dairy;FALSE;TRUE;;TRUE;FALSE;0.014989132606021029;0.026674846306258396;11.183.333.333.333.300
2500;AH Gebraden kipfiletplakjes tandoori 1 kilogram;Meat;FALSE;TRUE;;FALSE;FALSE;0.019435267917553855;0.014223002259362183;16.954.166.666.666.600
2711;AH Gedroogde pruimen 230 gram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.0047359005254086215;0.005159503308084882;13.000.000.000.000.000
213;AH Gemengde noten 400 gram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.0006225989352406435;0.0006681552871290348;7.918.749.999.999.990
1061;AH Gerookte Forel 125 gram;Meat;FALSE;TRUE;;TRUE;FALSE;0.053029196394251424;0.035848898780128424;16.852.173.913.043.400
24;AH Goudreinette zak 1.5 kilogram;Fruits;FALSE;TRUE;;FALSE;FALSE;4,17E+09;3,30E+10;16.314.285.714.285.700
306;AH Karnemelk 1 liter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.2066182940314023;0.16384344619624092;0.9641666666666667
1084;AH Kipdijfilet flakes kebab 225 gram;Meat;FALSE;TRUE;;FALSE;FALSE;0.02123248875463271;0.018908788585966268;1.328.888.888.888.880
1108;AH Kipdijfilet flakes marokkaans 225 gram;Meat;FALSE;TRUE;;FALSE;FALSE;0.011132487932279805;0.009692710850084862;1.328.888.888.888.880
378;AH Kipfilet a la minute naturel 1 kilogram;Meat;FALSE;TRUE;;FALSE;FALSE;0.006055433115244007;0.0069586223324490624;10.106.666.666.666.600
2244;AH Kipfilethaasjes 1 kilogram;Meat;FALSE;TRUE;;TRUE;FALSE;0.008149874793025758;0.011525205585538911;17.636.666.666.666.600
2148;AH Kokoswater 1000 milliliter;Dairy;FALSE;TRUE;;FALSE;FALSE;0.011618546004169157;0.017488814493509863;1.865
1539;AH Krokante kipfilet schnitzel 2st 250 gram;Meat;FALSE;TRUE;;FALSE;FALSE;0.2581802563088821;0.19554963965914063;12.476.666.666.666.600
45;AH Lychees los 1 kilogram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.012859804096478694;0.010011694835022712;733.625
426;AH Mandarijnen groot 1.5 kilogram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.14415702681072973;0.18935490671378005;23.930.555.555.555.500
1986;AH Mandarijnen los 1 kilogram;Fruits;FALSE;TRUE;;FALSE;FALSE;0.05659005836212607;0.024802475739180502;23.016.666.666.666.600
2364;AH Mango Mania 250ml 250 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;3,35E+10;2,87E+10;9.28
856;AH Minneola los 1 stuk;Fruits;FALSE;TRUE;;FALSE;FALSE;1,37E+09;3,01E+09;1.89
2412;AH Morning Sunrise 500ml 50 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;2,12E+11;2,36E+11;6.06
2388;AH Multifruit 330ml 330 milliliter;Fruits;FALSE;TRUE;;FALSE;FALSE;1,35E+11;1,26E+11;7.651.515.151.515.150
