,,Content,Content,Content,Content,Content,Content,Content,Content,Weight,Weight,Weight,Weight,Weight,Weight,Weight,Weight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dairy,201801.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333325,0.046615760882044895,5.83534409565296e-07,0.005517026075235088,0.0194060203245034,0.03236836193138212,0.21354441718042,30.0,0.03333333333333325,0.04539484562499104,2.39389637090605e-07,0.00826761538960123,0.0171913412592738,0.0312818027313013,0.173309597863266,30.0,1.4030000000000002,0.4648778111615404,0.49,1.0,1.455,1.78,2.19
Dairy,201802.0,29.0,315.88793103448273,350.44568298687585,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,29.0,0.0344827586206896,0.04597482228147669,1.90120421122494e-05,0.00842003016577348,0.0159678108843364,0.0418835287732854,0.209165302216573,29.0,0.034482758620689585,0.0441178070427897,2.48764168658337e-05,0.00783401354141725,0.0163640781825187,0.0312477755117967,0.166839696923785,29.0,1.4231034482758622,0.4388223155566976,0.69,1.03,1.39,1.79,2.19
Dairy,201803.0,29.0,315.88793103448273,350.44568298687585,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,29.0,0.03448275862068959,0.045054060920579966,2.3451023972211e-05,0.010761627041615,0.0179079676529018,0.0371808806194516,0.213947999029414,29.0,0.03448275862068958,0.041908519775511924,3.08235353017152e-05,0.0102144173209987,0.0226107706625692,0.0352517909413771,0.172698866419724,29.0,1.4179310344827587,0.4352862712411621,0.69,1.03,1.39,1.79,2.19
Dairy,201804.0,29.0,315.88793103448273,350.44568298687585,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,29.0,0.034482758620689585,0.04771977616338671,1.72165086642079e-05,0.00997942627214627,0.0168131504612179,0.0360384567613533,0.231595244800306,29.0,0.03448275862068955,0.044607171595694946,2.25236231030505e-05,0.00830539376033333,0.0176363463261037,0.0388459084567102,0.184639124506794,29.0,1.4086206896551725,0.4215000774269632,0.69,1.09,1.45,1.79,2.19
Dairy,201805.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333329,0.04861153687091249,2.408567757226e-05,0.009837493933419957,0.01514116013483155,0.03570189879439135,0.25098962027725,30.0,0.033333333333333263,0.044257818637792004,3.14348566387128e-05,0.009797048899173967,0.0180977420029558,0.032828734563517745,0.203451810841029,30.0,1.3780000000000003,0.44401304733858504,0.53,1.015,1.365,1.7650000000000001,2.19
Dairy,201806.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333284,0.048293865478836934,2.46795924450072e-05,0.009813104294059235,0.01504743227824905,0.04062106668995405,0.24848884957029,30.0,0.03333333333333328,0.04353124251054379,3.32128400341146e-05,0.010034681636574134,0.01839348531252765,0.03221910896588795,0.203071792803205,30.0,1.3773333333333335,0.4566665827670029,0.53,1.015,1.365,1.7650000000000001,2.19
Dairy,201807.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.0333333333333333,0.05063103486409254,2.17715447087496e-05,0.009314984824644915,0.01348747194707035,0.04521743888962762,0.260338247425956,30.0,0.03333333333333323,0.04600197756920453,2.85983816412336e-05,0.008482072191678701,0.015404224608098,0.027399643687267702,0.206010065500081,30.0,1.3916666666666668,0.4673556080414742,0.53,1.015,1.4249999999999998,1.7650000000000001,2.19
Dairy,201808.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.03333333333333327,0.046818647595105664,2.30998369581275e-05,0.00848972728762251,0.0135612159109528,0.04094526681654693,0.228284944546961,30.0,0.03333333333333324,0.04247262501254422,3.16997875876629e-05,0.009111732622763793,0.01825361108077645,0.027491530356382174,0.180707664641256,30.0,1.401,0.4723262315026736,0.53,1.0225,1.455,1.78,2.19
Dairy,201809.0,30.0,309.525,346.1096369923344,0.25,1.0,200.0,500.0,1000.0,0.0,,,,,,,,30.0,0.033333333333333263,0.04369007888372401,1.62157650621803e-05,0.01034410807330475,0.017870488499922448,0.03348042781003705,0.217041815211818,30.0,0.033333333333333263,0.039271585247893696,2.32422506630087e-05,0.012226491124081751,0.02231133484000385,0.038673322048881104,0.172125931647859,30.0,1.390666666666667,0.46452002171565504,0.53,1.0225,1.41,1.7650000000000001,2.19
