,,Content,Content,Content,Content,Content,Content,Content,Content,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,StandardWeight,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,QuantityCE,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,SalesGoodsEUR,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice,RetailItemPrice
,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Category,PeriodKey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frisdranken en Houdbaar Sap,201801.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.005372760804291084,0.006807668373159052,0.000615836084198732,0.00145025798361784,0.00203795278022832,0.00571988031444943,0.0170398768589611,5.0,0.007484356341057842,0.00770865987009271,0.00126325882495358,0.00187282473937533,0.00569445749981972,0.00831598676614248,0.0202752538749981,5.0,2.4779999999999998,1.6711882000540814,0.75,1.44,1.77,3.68,4.75
Frisdranken en Houdbaar Sap,201802.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.008818209134009413,0.011230083073584484,0.00110812429544872,0.00237354375931419,0.00291399382515633,0.00969785211430922,0.0279975316758186,5.0,0.010240007153034972,0.010490205828841621,0.00149383989059719,0.00278660746918943,0.00770206868901305,0.0116670699074154,0.0275504498089598,5.0,2.4779999999999998,1.6711882000540814,0.75,1.44,1.77,3.68,4.75
Frisdranken en Houdbaar Sap,201803.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.007012403268502357,0.009063072575455761,0.000845913546902055,0.00197665058575234,0.00240327461446451,0.00720676779734258,0.0226294097980503,5.0,0.008521963134270272,0.008839900869776393,0.0013016198088244,0.00224824280420815,0.00665487328182057,0.00914513519643404,0.0232599445800642,5.0,2.4779999999999998,1.6711882000540814,0.75,1.44,1.77,3.68,4.75
Frisdranken en Houdbaar Sap,201804.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.0052890661177157315,0.006718375984204472,0.000649062781873207,0.00136615919430624,0.00224949907496208,0.00529894196731313,0.016881667570124,5.0,0.007325370675427692,0.0076148041522621935,0.00140944283449971,0.00199606621133029,0.00532937228895645,0.00774549506692041,0.0201464769754316,5.0,2.4779999999999998,1.6711882000540814,0.75,1.44,1.77,3.68,4.75
Frisdranken en Houdbaar Sap,201805.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006699044040011738,0.008235621356674057,0.000926209792675488,0.0016988074643824,0.0030378903416865,0.0070097683049583,0.020822544296356,5.0,0.008135522176239831,0.008127398080411437,0.0016688614027528,0.00249595685041989,0.00580982388301308,0.00898568095819469,0.0217172877868187,5.0,2.4779999999999998,1.6711882000540814,0.75,1.44,1.77,3.68,4.75
Frisdranken en Houdbaar Sap,201806.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006857887153007935,0.00821176582512018,0.00108106060495685,0.0011038862331837,0.00506243294971708,0.00606336103004775,0.0209786949471343,5.0,0.00779353705812697,0.008544451147657676,0.00287497234630838,0.00304438086369804,0.00347925145466924,0.00675576378761529,0.0228133168383439,5.0,2.226,1.295773900030403,0.75,1.44,1.77,3.49,3.68
Frisdranken en Houdbaar Sap,201807.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006960950290169824,0.007787108463614987,0.00114091978005477,0.00119059779396127,0.00567892262342335,0.00665573750360723,0.0201385737498025,5.0,0.007981794346098987,0.008162852464476213,0.00291625875868745,0.00337397025129343,0.00384401877016437,0.00756813959588698,0.0222065843544627,5.0,2.23,1.2927683473847897,0.75,1.46,1.77,3.49,3.68
Frisdranken en Houdbaar Sap,201808.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.006065648890585669,0.006666577438603277,0.000895117365624415,0.00141540743726855,0.0046111204059454,0.00605830128270368,0.0173482979613863,5.0,0.0073572746728401235,0.0075460791246630445,0.00268892453827517,0.00326308127775427,0.00366861654553334,0.00657948639474394,0.0205862646078939,5.0,2.312,1.401131685460007,0.75,1.46,1.77,3.68,3.9
Frisdranken en Houdbaar Sap,201809.0,5.0,4.0520000000000005,4.120233003120091,0.28,1.0,1.98,8.0,9.0,0.0,,,,,,,,5.0,0.00674484821750213,0.008583074510394672,0.00101367476524516,0.00108125308292817,0.00447400389825791,0.00547756852148751,0.0216777408195919,5.0,0.007607881704541854,0.008977328515114855,0.00278458004337151,0.00284599265811775,0.00306645590461202,0.00583873028965909,0.0235036496269489,5.0,2.2279999999999998,1.2903371652401554,0.75,1.46,1.77,3.48,3.68
